committee,lawmaker,role
house-appropriations,"Jones, Llew",chair
house-appropriations,"Bedey, David",vice-chair
house-appropriations,"Mercer, Bill",member
house-appropriations,"Caferro, Mary",member
house-appropriations,"Albus, Eric",member
house-appropriations,"Barker, Brad",member
house-appropriations,"Crowe, Thedis",member
house-appropriations,"Falk, Terry",member
house-appropriations,"Fitzpatrick, John",member
house-appropriations,"Fox, Mike",member
house-appropriations,"Gillette, Jane",member
house-appropriations,"Hawk, Donavon",member
house-appropriations,"Keogh, Connie",member
house-appropriations,"Matthews, Eric",member
house-appropriations,"Muszkiewicz, Luke",member
house-appropriations,"Nave, Fiona",member
house-appropriations,"Nicastro, Anthony",member
house-appropriations,"Powers, Debo",member
house-appropriations,"Rosenzweig, Scott",member
house-appropriations,"Schillinger, Jerry",member
house-appropriations,"Tuss, Paul",member
house-appropriations,"Vinton, Mike",member
house-appropriations,"Walsh, Ken",member
house-judiciary,"Regier, Amy",chair
house-judiciary,"Deming, Lee",vice-chair
house-judiciary,"France, Tom",vice-chair
house-judiciary,"Baum, Denise",member
house-judiciary,"Cunningham, Melody",member
house-judiciary,"Etchart, Jodee",member
house-judiciary,"Griffith, Alanah",member
house-judiciary,"Hinkle, Caleb",member
house-judiciary,"Hinkle, Jedediah",member
house-judiciary,"Howell, SJ",member
house-judiciary,"Kelly, Steven",member
house-judiciary,"Klakken, Shane",member
house-judiciary,"Kmetz, Greg",member
house-judiciary,"Millett, Tom",member
house-judiciary,"Mitchell, Braxton",member
house-judiciary,"Overstreet, Greg",member
house-judiciary,"Sharp, Tracy",member
house-judiciary,"Stafman, Ed",member
house-judiciary,"Strand, Peter",member
house-judiciary,"Zephyr, Zooey",member
house-business-and-labor,"Buttrey, Ed",chair
house-business-and-labor,"Seekins-Crowe, Kerri",vice-chair
house-business-and-labor,"Lynch, Jennifer",vice-chair
house-business-and-labor,"Carter, Bob",member
house-business-and-labor,"DeMarois, Scott",member
house-business-and-labor,"Fitzpatrick, Sidney",member
house-business-and-labor,"Fitzpatrick, Steve",member
house-business-and-labor,"Gist, Steve",member
house-business-and-labor,"Isaly, Jamie",member
house-business-and-labor,"Karlen, Jonathan",member
house-business-and-labor,"Ler, Brandon",member
house-business-and-labor,"Maness, Shannon",member
house-business-and-labor,"Marshall, Ron",member
house-business-and-labor,"Nicol, Nelly",member
house-business-and-labor,"Oblander, Greg",member
house-business-and-labor,"Schomer, Curtis",member
house-business-and-labor,"Seckinger, Joshua",member
house-business-and-labor,"Sprunger, Courtenay",member
house-business-and-labor,"Sullivan, Katie",member
house-business-and-labor,"Thiel, Morgan",member
house-taxation,"Fielder, Paul",chair
house-taxation,"Essmann, Sherry",vice-chair
house-taxation,"Thane, Mark",vice-chair
house-taxation,"Brewster, Larry",member
house-taxation,"Close, Brian",member
house-taxation,"Cohenour, Jill",member
house-taxation,"Duram, Neil",member
house-taxation,"Elverum, Pete",member
house-taxation,"Fitzpatrick, Steve",member
house-taxation,"Gregg, Randyn",member
house-taxation,"Karlen, Jonathan",member
house-taxation,"Ler, Brandon",member
house-taxation,"Marler, Marilyn",member
house-taxation,"Miner, Russ",member
house-taxation,"Moore, Valerie",member
house-taxation,"Nikolakakos, George",member
house-taxation,"Nikolakakos, Melissa",member
house-taxation,"Reavis, James",member
house-taxation,"Romano, Melissa",member
house-taxation,"Weber, Jane",member
house-taxation,"Zolnikov, Katie",member
house-state-administration,"Darling, Julie",chair
house-state-administration,"Bertoglio, Marta",vice-chair
house-state-administration,"Kortum, Kelly",vice-chair
house-state-administration,"Bennett, Lyn",member
house-state-administration,"Byrne, Ed",member
house-state-administration,"Cochran, Curtis",member
house-state-administration,"Edwards, Becky",member
house-state-administration,"Fyant, Shelly",member
house-state-administration,"Kerr-Carpenter, Emma",member
house-state-administration,"Lee, Marc",member
house-state-administration,"Love, Kathy",member
house-state-administration,"Parry, Gary",member
house-state-administration,"Reksten, Linda",member
house-state-administration,"Running Wolf, Tyson",member
house-state-administration,"Schubert, Lukas",member
house-state-administration,"Smith, Frank",member
house-state-administration,"Sooktis, Jade",member
house-state-administration,"Tilleman, Eric",member
house-state-administration,"Wirth, Zack",member
house-human-services,"Marshall, Ron",chair
house-human-services,"Etchart, Jodee",vice-chair
house-human-services,"Howell, SJ",vice-chair
house-human-services,"Bennett, Lyn",member
house-human-services,"Buttrey, Ed",member
house-human-services,"Close, Brian",member
house-human-services,"Cunningham, Melody",member
house-human-services,"DeMarois, Scott",member
house-human-services,"Kelly, Steven",member
house-human-services,"Ler, Brandon",member
house-human-services,"Love, Kathy",member
house-human-services,"Moore, Valerie",member
house-human-services,"Nicol, Nelly",member
house-human-services,"Nikolakakos, George",member
house-human-services,"Reavis, James",member
house-human-services,"Regier, Amy",member
house-human-services,"Schomer, Curtis",member
house-human-services,"Sooktis, Jade",member
house-human-services,"Sullivan, Katie",member
house-human-services,"Weber, Jane",member
house-human-services,"Zephyr, Zooey",member
house-natural-resources,"Gist, Steve",chair
house-natural-resources,"Oblander, Greg",vice-chair
house-natural-resources,"Marler, Marilyn",vice-chair
house-natural-resources,"Cohenour, Jill",member
house-natural-resources,"Edwards, Becky",member
house-natural-resources,"Fitzpatrick, Steve",member
house-natural-resources,"France, Tom",member
house-natural-resources,"Hinkle, Jedediah",member
house-natural-resources,"Karlen, Jonathan",member
house-natural-resources,"Maness, Shannon",member
house-natural-resources,"Miner, Russell",member
house-natural-resources,"Schubert, Lukas",member
house-natural-resources,"Seckinger, Joshua",member
house-natural-resources,"Thiel, Morgan",member
house-transportation,"Duram, Neil",chair
house-transportation,"Wirth, Zack",vice-chair
house-transportation,"Baum, Denise",vice-chair
house-transportation,"Byrne, Ed",member
house-transportation,"Caferro, Mary",member
house-transportation,"Cochran, Curtis",member
house-transportation,"Darling, Julie",member
house-transportation,"Fitzpatrick, Sidney",member
house-transportation,"Hinkle, Caleb",member
house-transportation,"Klakken, Shane",member
house-transportation,"Smith, Frank",member
house-transportation,"Sprunger, Courtenay",member
house-transportation,"Stafman, Ed",member
house-transportation,"Sullivan, Katie",member
house-education,"Reksten, Linda",chair
house-education,"Gregg, Randyn",vice-chair
house-education,"Romano, Melissa",vice-chair
house-education,"Bertoglio, Marta",member
house-education,"Deming, Lee",member
house-education,"Elverum, Pete",member
house-education,"Essmann, Sherry",member
house-education,"Isaly, Jamie",member
house-education,"Lynch, Jennifer",member
house-education,"Nikolakakos, Melissa",member
house-education,"Overstreet, Greg",member
house-education,"Seekins-Crowe, Kerri",member
house-education,"Strand, Peter",member
house-education,"Thane, Mark",member
house-education,"Tilleman, Eric",member
house-energy-technology-and-federal-relations,"Parry, Gary",chair
house-energy-technology-and-federal-relations,"Kmetz, Greg",vice-chair
house-energy-technology-and-federal-relations,"Kortum, Kelly",vice-chair
house-energy-technology-and-federal-relations,"Brewster, Larry",member
house-energy-technology-and-federal-relations,"Carter, Bob",member
house-energy-technology-and-federal-relations,"Fielder, Paul",member
house-energy-technology-and-federal-relations,"Fyant, Shelly",member
house-energy-technology-and-federal-relations,"Griffith, Alanah",member
house-energy-technology-and-federal-relations,"Kerr-Carpenter, Emma",member
house-energy-technology-and-federal-relations,"Lee, Marc",member
house-energy-technology-and-federal-relations,"Millett, Tom",member
house-energy-technology-and-federal-relations,"Mitchell, Braxton",member
house-energy-technology-and-federal-relations,"Sharp, Tracy",member
house-energy-technology-and-federal-relations,"Zolnikov, Katie",member
house-agriculture,"Mitchell, Braxton",chair
house-agriculture,"Miner, Russ",vice-chair
house-agriculture,"Carter, Bob",vice-chair
house-agriculture,"Baum, Denise",member
house-agriculture,"Darling, Julie",member
house-agriculture,"Griffith, Alanah",member
house-agriculture,"Kerr-Carpenter, Emma",member
house-agriculture,"Klakken, Shane",member
house-agriculture,"Kmetz, Greg",member
house-agriculture,"Lynch, Jennifer",member
house-agriculture,"Nikolakakos, Melissa",member
house-agriculture,"Oblander, Greg",member
house-agriculture,"Romano, Melissa",member
house-agriculture,"Smith, Frank,",member
house-agriculture,"Thiel, Morgan",member
house-agriculture,"Tilleman, Eric",member
house-agriculture,"Wirth, Zack",member
house-fish-wildlife-and-parks,"Hinkle, Jedediah",chair
house-fish-wildlife-and-parks,"Hinkle, Caleb",vice-chair
house-fish-wildlife-and-parks,"Cohenour, Jill",vice-chair
house-fish-wildlife-and-parks,"Byrne, Ed",member
house-fish-wildlife-and-parks,"Deming, Lee",member
house-fish-wildlife-and-parks,"Duram, Neil",member
house-fish-wildlife-and-parks,"Fielder, Paul",member
house-fish-wildlife-and-parks,"Fitzpatrick, Sidney",member
house-fish-wildlife-and-parks,"France, Tom",member
house-fish-wildlife-and-parks,"Gregg, Randyn",member
house-fish-wildlife-and-parks,"Isaly, Jamie",member
house-fish-wildlife-and-parks,"Karlen, Jonathan",member
house-fish-wildlife-and-parks,"Maness, Shannon",member
house-fish-wildlife-and-parks,"Marler, Marilyn",member
house-fish-wildlife-and-parks,"Millett, Tom",member
house-fish-wildlife-and-parks,"Parry, Gary",member
house-fish-wildlife-and-parks,"Running Wolf, Tyson",member
house-fish-wildlife-and-parks,"Schubert, Lukas",member
house-fish-wildlife-and-parks,"Seckinger, Joshua",member
house-fish-wildlife-and-parks,"Sharp, Tracy",member
house-local-government,"Brewster, Larry",chair
house-local-government,"Sprunger, Courtenay",vice-chair
house-local-government,"Stafman, Ed",vice-chair
house-local-government,"Bertoglio, Marta",member
house-local-government,"Cochran, Curtis",member
house-local-government,"Elverum, Pete",member
house-local-government,"Essmann, Sherry",member
house-local-government,"Fitzpatrick, Steve",member
house-local-government,"Fyant, Shelly",member
house-local-government,"Kortum, Kelly",member
house-local-government,"Lee, Mark",member
house-local-government,"Overstreet, Greg",member
house-local-government,"Reksten, Linda",member
house-local-government,"Seekins-Crowe, Kerri",member
house-local-government,"Strand, Peter",member
house-local-government,"Thane, Mark",member
house-legislative-administration,"Nikolakakos, George",chair
house-legislative-administration,"Walsh, Ken",vice-chair
house-legislative-administration,"Tuss, Paul",vice-chair
house-legislative-administration,"Deming, Lee",member
house-legislative-administration,"Edwards, Becky",member
house-legislative-administration,"Falk, Terry",member
house-legislative-administration,"Fyant, Shelly",member
house-legislative-administration,"Karlen, Jonathan",member
house-legislative-administration,"Kmetz, Greg",member
house-legislative-administration,"Marler, Marilyn",member
house-legislative-administration,"Parry, Gary",member
house-legislative-administration,"Regier, Amy",member
house-legislative-administration,"Romano, Melissa",member
house-legislative-administration,"Schubert, Lukas",member
house-rules,"Fitzpatrick, Steve",chair
house-rules,"Schillinger, Jerry",vice-chair
house-rules,"Karlen, Jonathan",vice-chair
house-rules,"Barker, Brad",member
house-rules,"Bedey, David",member
house-rules,"Brewster, Larry",member
house-rules,"Buttrey, Ed",member
house-rules,"Fielder, Paul",member
house-rules,"Griffith, Alanah",member
house-rules,"Hawk, Donavon",member
house-rules,"Hinkle, Jedediah",member
house-rules,"Howell, SJ",member
house-rules,"Marshall, Ron",member
house-rules,"Matthews, Eric",member
house-rules,"Millett, Tom",member
house-rules,"Mitchell, Braxton",member
house-rules,"Reavis, James",member
house-rules,"Regier, Amy",member
house-rules,"Running Wolf, Tyson",member
house-rules,"Sprunger, Courtenay",member
house-rules,"Sullivan, Katie",member
house-rules,"Thane, Mark",member
house-ethics,"Zolnikov, Katie",chair
house-ethics,"Ler, Brandon",vice-chair
house-ethics,"Hawk, Donavon",vice-chair
house-ethics,"Muszkiewicz, Luke",member
joint-appropriations-section-a,"Falk, Terry",chair
joint-appropriations-section-a,"Mandeville, Forrest",vice-chair
joint-appropriations-section-a,"Ellsworth, Jason",member
joint-appropriations-section-a,"Flowers, Pat",member
joint-appropriations-section-a,"Harvey, Derek",member
joint-appropriations-section-a,"Muszkiewicz, Luke",member
joint-appropriations-section-a,"Tezak, Tony",member
joint-appropriations-section-a,"Walsh, Ken",member
joint-appropriations-section-b,"Gillette, Jane",chair
joint-appropriations-section-b,"Mercer, Bill",vice-chair
joint-appropriations-section-b,"Lenz, Dennis",vice-chair
joint-appropriations-section-b,"Caferro, Mary",member
joint-appropriations-section-b,"Fox, Mike",member
joint-appropriations-section-b,"Glimm, Carl",member
joint-appropriations-section-b,"Kerr-Carpenter, Emma",member
joint-appropriations-section-b,"Pope, Christopher",member
joint-appropriations-section-b,"Tempel, Russ",member
joint-appropriations-section-c,"Schillinger, Jerry",chair
joint-appropriations-section-c,"Cuffe, Mike",vice-chair
joint-appropriations-section-c,"Albus, Eric",member
joint-appropriations-section-c,"Bogner, Kenneth",member
joint-appropriations-section-c,"Ellis, Janet",member
joint-appropriations-section-c,"Powers, Debo",member
joint-appropriations-section-d,"Nave, Fiona",chair
joint-appropriations-section-d,"Vance, Shelley",vice-chair
joint-appropriations-section-d,"Crowe, Thedis",member
joint-appropriations-section-d,"Hawk, Donavon",member
joint-appropriations-section-d,"McGillvray, Tom",member
joint-appropriations-section-d,"Morigeau, Shane",member
joint-appropriations-section-d,"Nicastro, Anthony",member
joint-appropriations-section-e,"Bedey, David",chair
joint-appropriations-section-e,"Fuller, John",vice-chair
joint-appropriations-section-e,"Barker, Brad",member
joint-appropriations-section-e,"Jones, Llew",member
joint-appropriations-section-e,"Keogh, Connie",member
joint-appropriations-section-e,"Matthews, Eric",member
joint-appropriations-section-e,"Regier, Matt",member
joint-appropriations-section-e,"Windy Boy, Jonathan",member
joint-appropriations-section-f,"Fitzpatrick, John",chair
joint-appropriations-section-f,"Esp, John",vice-chair
joint-appropriations-section-f,"Boldman, Ellie",member
joint-appropriations-section-f,"Kassmier, Josh",member
joint-appropriations-section-f,"Rosenzweig, Scott",member
joint-appropriations-section-f,"Tuss, Paul",member
joint-appropriations-section-f,"Vinton, Mike",member
senate-finance-and-claims,"Glimm, Carl",chair
senate-finance-and-claims,"Esp, John",vice-chair
senate-finance-and-claims,"Ellis, Janet",vice-chair
senate-finance-and-claims,"Bogner, Kenneth",member
senate-finance-and-claims,"Boldman, Ellie",member
senate-finance-and-claims,"Cuffe, Mike",member
senate-finance-and-claims,"Ellsworth, Jason",member
senate-finance-and-claims,"Flowers, Pat",member
senate-finance-and-claims,"Fuller, John",member
senate-finance-and-claims,"Harvey, Derek",member
senate-finance-and-claims,"Kassmier, Josh",member
senate-finance-and-claims,"Kerr-Carpenter, Emma",member
senate-finance-and-claims,"Lenz, Dennis",member
senate-finance-and-claims,"Mandeville, Forrest",member
senate-finance-and-claims,"McGillvray, Tom",member
senate-finance-and-claims,"Morigeau, Shane",member
senate-finance-and-claims,"Pope, Christopher",member
senate-finance-and-claims,"Regier, Matt",member
senate-finance-and-claims,"Tempel, Russ",member
senate-finance-and-claims,"Tezak, Tony",member
senate-finance-and-claims,"Vance, Shelley",member
senate-finance-and-claims,"Windy Boy, Jonathan",member
senate-judiciary,"Usher, Barry",member
senate-judiciary,"Ricci, Vince",member
senate-judiciary,"Olsen, Andrea",member
senate-judiciary,"Emrich, Daniel",member
senate-judiciary,"Lammers, Gayle",member
senate-judiciary,"Manzella, Theresa",member
senate-judiciary,"Neumann, Cora",member
senate-judiciary,"Vinton, Sue",member
senate-judiciary,"Smith, Laura",member
senate-business-labor-and-economic-affairs,"Noland, Mark",chair
senate-business-labor-and-economic-affairs,"Trebas, Jeremy",vice-chair
senate-business-labor-and-economic-affairs,"Curdy, Willis",vice-chair
senate-business-labor-and-economic-affairs,"Gillespie, Bruce ""Butch""",member
senate-business-labor-and-economic-affairs,"Hunter, Greg",member
senate-business-labor-and-economic-affairs,"Morigeau, Jacinda",member
senate-business-labor-and-economic-affairs,"Novak, Sara",member
senate-business-labor-and-economic-affairs,"Loge, Denley",member
senate-business-labor-and-economic-affairs,"Phalen, Bob",member
senate-business-labor-and-economic-affairs,"Webber, Susan",member
senate-business-labor-and-economic-affairs,"Zolnikov, Daniel",member
senate-taxation,"Hertz, Greg",chair
senate-taxation,"Beard, Becky",vice-chair
senate-taxation,"Fern, Dave",vice-chair
senate-taxation,"Flowers, Pat",member
senate-taxation,"Dunwell, Mary Ann",member
senate-taxation,"Galt, Wylie",member
senate-taxation,"Hayman, Denise",member
senate-taxation,"McKamey, Wendy",member
senate-taxation,"Yakawich, Mike",member
senate-education-and-cultural-resources,"Fuller, John",chair
senate-education-and-cultural-resources,"Tempel, Russ",vice-chair
senate-education-and-cultural-resources,"Novak, Sara",vice-chair
senate-education-and-cultural-resources,"Webber, Susan",member
senate-education-and-cultural-resources,"Beard, Becky",member
senate-education-and-cultural-resources,"Emrich, Daniel",member
senate-education-and-cultural-resources,"Esp, John",member
senate-education-and-cultural-resources,"Mandeville, Forrest",member
senate-education-and-cultural-resources,"Manzella, Theresa",member
senate-education-and-cultural-resources,"Morigeau, Jacinda",member
senate-education-and-cultural-resources,"Olsen, Andrea",member
senate-education-and-cultural-resources,"Trebas, Jeremy",member
senate-education-and-cultural-resources,"Vinton, Sue",member
senate-education-and-cultural-resources,"Windy Boy, Jonathan",member
senate-local-government,"Mandeville, Forrest",chair
senate-local-government,"Beard, Becky",vice-chair
senate-local-government,"Webber, Susan",vice-chair
senate-local-government,"Bogner, Kenneth",member
senate-local-government,"Boldman, Ellie",member
senate-local-government,"Ellsworth, Jason",member
senate-local-government,"Fern, Dave",member
senate-local-government,"Hertz, Greg",member
senate-local-government,"Lammers, Gayle",member
senate-local-government,"Pope, Christopher",member
senate-local-government,"Trebas, Jeremy",member
senate-natural-resources,"Galt, Wylie",member
senate-natural-resources,"Cuffe, Mike",member
senate-natural-resources,"Morigeau, Shane",member
senate-natural-resources,"Curdy, Willis",member
senate-natural-resources,"Flowers, Pat",member
senate-natural-resources,"Gillespie, Bruce ""Butch""",member
senate-natural-resources,"Harvey, Derek",member
senate-natural-resources,"Noland, Mark",member
senate-natural-resources,"Usher, Barry",member
senate-natural-resources,"Vinton, Sue",member
senate-natural-resources,"Zolnikov, Daniel",member
senate-public-health-welfare-and-safety,"Lenz, Dennis",chair
senate-public-health-welfare-and-safety,"Ricci, Vince",vice-chair
senate-public-health-welfare-and-safety,"Smith, Laura",vice-chair
senate-public-health-welfare-and-safety,"Neumann, Cora",member
senate-public-health-welfare-and-safety,"Emrich, Daniel",member
senate-public-health-welfare-and-safety,"Fuller, John",member
senate-public-health-welfare-and-safety,"Glimm, Carl",member
senate-public-health-welfare-and-safety,"Kerr-Carpenter, Emma",member
senate-public-health-welfare-and-safety,"McGillvray, Tom",member
senate-public-health-welfare-and-safety,"Windy Boy, Jonathan",member
senate-public-health-welfare-and-safety,"Yakawich, Mike",member
senate-state-administration,"Manzella, Theresa",chair
senate-state-administration,"McKamey, Wendy",vice-chair
senate-state-administration,"Hayman, Denise",vice-chair
senate-state-administration,"Ellis, Janet",member
senate-state-administration,"Morigeau, Jacinda",member
senate-state-administration,"Phalen, Bob",member
senate-state-administration,"Regier, Matt",member
senate-state-administration,"Tezak, Tony",member
senate-state-administration,"Vance, Shelley",member
senate-agriculture-livestock-and-irrigation,"Gillespie, Bruce ""Butch""",chair
senate-agriculture-livestock-and-irrigation,"Kassmier, Josh",vice-chair
senate-agriculture-livestock-and-irrigation,"Boldman, Ellie",vice-chair
senate-agriculture-livestock-and-irrigation,"Curdy, Willis",member
senate-agriculture-livestock-and-irrigation,"Dunwell, Mary Ann",member
senate-agriculture-livestock-and-irrigation,"Glimm, Carl",member
senate-agriculture-livestock-and-irrigation,"Lenz, Dennis",member
senate-agriculture-livestock-and-irrigation,"McKamey, Wendy",member
senate-agriculture-livestock-and-irrigation,"Neumann, Cora",member
senate-agriculture-livestock-and-irrigation,"Tezek, Tony",member
senate-agriculture-livestock-and-irrigation,"Yakawich, Mike",member
senate-energy-and-telecommunications,"Zolnikov, Daniel",chair
senate-energy-and-telecommunications,"Lammers, Gayle",vice-chair
senate-energy-and-telecommunications,"Pope, Christopher",vice-chair
senate-energy-and-telecommunications,"Bogner, Kenneth",member
senate-energy-and-telecommunications,"Cuffe, Mike",member
senate-energy-and-telecommunications,"Ellis, Janet",member
senate-energy-and-telecommunications,"Galt, Wylie",member
senate-energy-and-telecommunications,"Harvey, Derek",member
senate-energy-and-telecommunications,"Hayman, Denise",member
senate-energy-and-telecommunications,"Hunter, Gregg",member
senate-energy-and-telecommunications,"Regier, Matt",member
senate-energy-and-telecommunications,"Usher, Barry",member
senate-fish-and-game,"Loge, Denley",member
senate-fish-and-game,"Vance, Shelley",member
senate-fish-and-game,"Flowers, Pat",member
senate-fish-and-game,"Ellsworth, Jason",member
senate-fish-and-game,"Hertz, Greg",member
senate-fish-and-game,"McGillvray, Tom",member
senate-fish-and-game,"Morigeau, Shane",member
senate-fish-and-game,"Noland, Mark",member
senate-fish-and-game,"Novak, Sara",member
senate-fish-and-game,"Phalen, Bob",member
senate-fish-and-game,"Ricci, Vince",member
senate-fish-and-game,"Smith, Laura",member
senate-highways-and-transportation,"Tempel, Russ",chair
senate-highways-and-transportation,"Loge, Denley",vice-chair
senate-highways-and-transportation,"Dunwell, Mary Ann",vice-chair
senate-highways-and-transportation,"Esp, John",member
senate-highways-and-transportation,"Fern, Dave",member
senate-highways-and-transportation,"Hunter, Gregg",member
senate-highways-and-transportation,"Kassmier, Josh",member
senate-highways-and-transportation,"Olsen, Andrea",member
senate-committee-on-committees,"Glimm, Carl",member
senate-committee-on-committees,"Galt, Wylie,",member
senate-committee-on-committees,"Lenz, Dennis",member
senate-committee-on-committees,"Noland, Mark",member
senate-committee-on-committees,"Ricci, Vince",member
senate-committee-on-committees,"Zolnikov, Daniel",member
senate-executive-review-committee,"Ellsworth, Jason",chair
senate-executive-review-committee,"Kassmier, Josh",vice-chair
senate-executive-review-committee,"Webber, Susan",vice-chair
senate-executive-review-committee,"Flowers, Pat",member
senate-executive-review-committee,"Hayman, Denise",member
senate-executive-review-committee,"Hunter, Gregg",member
senate-executive-review-committee,"Loge, Denley",member
senate-executive-review-committee,"Tempel, Russ",member
senate-ethics,"Vinton, Sue",chair
senate-ethics,"McGillvray, Tom",vice-chair
senate-ethics,"Pope, Christopher",vice-chair
senate-ethics,"Smith, Laura",member
senate-rules,"McGillvray, Tom",chair
senate-rules,"Mandeville, Forrest",vice-chair
senate-rules,"Boldman, Ellie",member
senate-rules,"Ellis, Janet",member
senate-rules,"Ellsworth, Jason",member
senate-rules,"Emrich, Daniel",member
senate-rules,"Esp, John",member
senate-rules,"Flowers, Pat",member
senate-rules,"Glimm, Carl",member
senate-rules,"Harvey, Derek",member
senate-rules,"Hertz, Greg",member
senate-rules,"Lenz, Dennis",member
senate-rules,"McKamey, Wendy",member
senate-rules,"Morigeau, Shane",member
senate-rules,"Noland, Mark(R)",member
senate-rules,"Smith, Laura",member
senate-rules,"Usher, Barry",member
senate-rules,"Galt, Wylie",member
senate-legislative-administration,"Ricci, Vince",chair
senate-legislative-administration,"Emrich, Daniel",vice-chair
senate-legislative-administration,"Hayman, Denise",vice-chair
senate-legislative-administration,"Dunwell, Mary Ann",member
senate-legislative-administration,"Fuller, John",member
senate-legislative-administration,"Zolnikov, Daniel",member